Name	category
LOC100288069	Active
LOC105378580	Active
LINC00115	Active
LINC01128	Active
SDF4	Active
B3GALT6	Active
UBE2J2	Active
LINC01786	Active
ACAP3	Active
PUSL1	Active
INTS11	Active
CPTP	Active
DVL1	Active
AURKAIP1	Active
CCNL2	Active
LOC148413	Active
MRPL20	Active
LINC01770	Active
VWA1	Active
ATAD3B	Active
ATAD3A	Active
TMEM240	Active
SSU72	Active
CDK11B	Active
SLC35E2B	Active
CDK11A	Active
SLC35E2A	Active
LOC112268218	Active
NADK	Active
GNB1	Active
LOC105378949	Active
TMEM52	Active
LOC105378591	Active
PRKCZ	Active
SKI	Active
MORN1	Active
RER1	Active
PEX10	Active
PLCH2	Active
FAM213B	Active
ARHGEF16	Active
MEGF6	Active
TPRG1L	Active
TP73-AS1	Active
SMIM1	Active
LRRC47	Active
C1orf174	Active
LINC01134	Active
RPL22	Active
ICMT	Active
LINC00337	Active
ACOT7	Active
NOL9	Active
TAS1R1	Active
LOC107984912	Active
ZBTB48	Active
KLHL21	Active
LOC107984913	Active
PHF13	Active
THAP3	Active
DNAJC11	Active
CAMTA1-DT	Active
CAMTA1	Active
VAMP3	Active
PER3	Active
PARK7	Active
ERRFI1	Active
LOC102724552	Active
ENO1	Active
ENO1-AS1	Active
H6PD	Active
LOC100506022	Active
SLC25A33	Active
TMEM201	Active
CTNNBIP1	Active
LZIC	Active
NMNAT1	Active
UBE4B	Active
KIF1B	Active
PGD	Active
CENPS-CORT	Active
CENPS	Active
DFFA	Active
PEX14	Active
TARDBP	Active
SRM	Active
EXOSC10	Active
LOC105376736	Active
MTOR	Active
UBIAD1	Active
AGTRAP	Active
MTHFR	Active
CLCN6	Active
RNU5E-1	Active
KIAA2013	Active
PLOD1	Active
MFN2	Active
MIIP	Active
VPS13D	Active
DHRS3	Active
PDPN	Active
PRDM2	Active
TMEM51-AS1	Active
TMEM51	Active
CASP9	Active
DNAJC16	Active
DDI2	Active
FLJ37453	Active
SPEN	Active
ZBTB17	Active
ARHGEF19	Active
CPLANE2	Active
FBXO42	Active
SZRD1	Active
NECAP2	Active
RNU1-1	Active
LOC105376805	Active
RNU1-2	Active
CROCC	Active
ATP13A2	Active
SDHB	Active
RCC2	Active
ALDH4A1	Active
LOC101927895	Active
EMC1	Active
MRTO4	Active
AKR7A2	Active
PQLC2	Active
CAPZB	Active
LOC105378614	Active
MINOS1-NBL1	Active
MINOS1	Active
OTUD3	Active
UBXN10-AS1	Active
MUL1	Active
CDA	Active
PINK1	Active
MIR6084	Active
DDOST	Active
HP1BP3	Active
EIF4G3	Active
ECE1	Active
ALPL	Active
USP48	Active
HSPG2	Active
LINC01635	Active
LINC00339	Active
LOC112268223	Active
CDC42	Active
KDM1A	Active
HNRNPR	Active
ZNF436	Active
ZNF436-AS1	Active
ASAP3	Active
E2F2	Active
ID3	Active
RPL11	Active
ELOA	Active
ELOA-AS1	Active
PITHD1	Active
LYPLA2	Active
GALE	Active
HMGCL	Active
PNRC2	Active
SRSF10	Active
IFNLR1	Active
LOC105376871	Active
GRHL3	Active
STPG1	Active
NIPAL3	Active
RCAN3AS	Active
RCAN3	Active
SRRM1	Active
CLIC4	Active
SYF2	Active
RSRP1	Active
TMEM50A	Active
RHCE	Active
MACO1	Active
LDLRAP1	Active
SELENON	Active
MTFR1L	Active
AUNIP	Active
STMN1	Active
MIR3917	Active
LOC105376885	Active
PAFAH2	Active
C1orf232	Active
ZNF593	Active
CNKSR1	Active
CEP85	Active
SH3BGRL3	Active
LIN28A	Active
DHDDS	Active
HMGN2	Active
RPS6KA1	Active
ARID1A	Active
PIGV	Active
ZDHHC18	Active
GPN2	Active
GPATCH3	Active
NUDC	Active
KDF1	Active
TRNP1	Active
FAM46B	Active
SLC9A1	Active
LOC105376890	Active
WDTC1	Active
TMEM222	Active
GPR3	Active
WASF2	Active
AHDC1	Active
FAM76A	Active
STX12	Active
PPP1R8	Active
RPA2	Active
XKR8	Active
EYA3	Active
DNAJC8	Active
ATP5IF1	Active
SESN2	Active
MED18	Active
PHACTR4	Active
RCC1	Active
SNHG3	Active
TRNAU1AP	Active
SNORA16A	Active
TAF12	Active
LINC01715	Active
RNU11	Active
GMEB1	Active
YTHDF2	Active
SRSF4	Active
MECR	Active
MATN1-AS1	Active
PUM1	Active
LOC107984935	Active
SNRNP40	Active
ZCCHC17	Active
FABP3	Active
PEF1	Active
LOC107985471	Active
PTP4A2	Active
KHDRBS1	Active
KPNA6	Active
TXLNA	Active
CCDC28B	Active
TMEM234	Active
IQCC	Active
EIF3I	Active
HDAC1	Active
MARCKSL1	Active
LOC105378629	Active
TSSK3	Active
BSDC1	Active
ZBTB8B	Active
ZBTB8A	Active
LOC102723870	Active
ZBTB8OS	Active
RBBP4	Active
KIAA1522	Active
YARS	Active
S100PBP	Active
RNF19B	Active
AK2	Active
ZNF362	Active
ZSCAN20	Active
SMIM12	Active
TMEM35B	Active
ZMYM6	Active
SFPQ	Active
ZMYM4	Active
KIAA0319L	Active
NCDN	Active
PSMB2	Active
CLSPN	Active
AGO4	Active
ADPRHL2	Active
TRAPPC3	Active
MAP7D1	Active
THRAP3	Active
SH3D21	Active
STK40	Active
LSM10	Active
OSCP1	Active
MRPS15	Active
LINC01137	Active
ZC3H12A	Active
MEAF6	Active
SNIP1	Active
GNL2	Active
C1orf109	Active
CDCA8	Active
YRDC	Active
C1orf122	Active
MTF1	Active
INPP5B	Active
LOC105378651	Active
SF3A3	Active
FHL3	Active
UTP11	Active
RRAGC	Active
MYCBP	Active
LOC105378663	Active
AKIRIN1	Active
NDUFS5	Active
KIAA0754	Active
PABPC4	Active
TRIT1	Active
LOC105378669	Active
CAP1	Active
PPT1	Active
LOC105378671	Active
RLF	Active
ZMPSTE24	Active
SMAP2	Active
ZFP69B	Active
ZFP69	Active
LOC105378672	Active
EXO5	Active
ZNF684	Active
RIMS3	Active
NFYC-AS1	Active
NFYC	Active
CTPS1	Active
SCMH1	Active
FOXJ3	Active
ZMYND12	Active
CCDC30	Active
PPCS	Active
PPIH	Active
YBX1	Active
P3H1	Active
C1orf50	Active
SVBP	Active
ERMAP	Active
ZNF691	Active
SLC2A1	Active
SLC2A1-AS1	Active
EBNA1BP2	Active
MIR6733	Active
CFAP57	Active
TMEM125	Active
C1orf210	Active
LOC105378687	Active
CDC20	Active
ELOVL1	Active
MED8	Active
SZT2	Active
HYI	Active
KDM4A	Active
KDM4A-AS1	Active
ST3GAL3	Active
LOC101929609	Active
IPO13	Active
DPH2	Active
ATP6V0B	Active
B4GALT2	Active
CCDC24	Active
SLC6A9	Active
LOC107984948	Active
DMAP1	Active
ERI3	Active
TMEM53	Active
ARMH1	Active
KIF2C	Active
RPS8	Active
SNORD55	Active
SNORD46	Active
PLK3	Active
LOC107984952	Active
EIF2B3	Active
HECTD3	Active
UROD	Active
LINC01144	Active
HPDL	Active
MUTYH	Active
TOE1	Active
TESK2	Active
CCDC163	Active
MMACHC	Active
PRDX1	Active
AKR1A1	Active
NASP	Active
GPBP1L1	Active
TMEM69	Active
IPP	Active
LOC105378693	Active
LOC101929626	Active
LURAP1	Active
RAD54L	Active
LRRC41	Active
UQCRH	Active
NSUN4	Active
FAAH	Active
MKNK1	Active
ATPAF1	Active
TEX38	Active
STIL	Active
CMPK1	Active
SPATA6	Active
BEND5	Active
FAF1	Active
LOC112268262	Active
LINC01562	Active
RNF11	Active
EPS15	Active
OSBPL9	Active
NRDC	Active
RAB3B	Active
TXNDC12	Active
KTI12	Active
BTF3L4	Active
LOC107984956	Active
ZFYVE9	Active
CC2D1B	Active
ORC1	Active
PRPF38A	Active
ZCCHC11	Active
GPX7	Active
COA7	Active
ZYG11B	Active
ZYG11A	Active
CPT2	Active
C1orf123	Active
MAGOH	Active
LOC100507564	Active
NDC1	Active
YIPF1	Active
HSPB11	Active
LRRC42	Active
TMEM59	Active
TCEANC2	Active
MIR4781	Active
CYB5RL	Active
MRPL37	Active
TTC4	Active
PARS2	Active
DHCR24	Active
LOC107984958	Active
USP24	Active
