lid	Entrez_id	Name	xref	transcript_length	transcript_type	iPSC_parent	iPSC_KO1	iPSC_KO2	iMeLC_parent	iMeLC_KO1	iMeLC_KO2	d6hPGCLC_parent	d6hPGCLC_KO1	d6hPGCLC_KO2	c12_parent	c12_KO1	c12_KO2	c32_parent	c32_KO1	c32_KO2	c42_parent	c42_KO1	diff_iPSC	diff_iMeLC	diff_d6	diff_c12	diff_c32	diff_c42
gene55	100130417	LOC100130417	Name=LOC100130417;description=uncharacterized LOC100130417;gbkey=Gene;gene=LOC100130417;gene_biotype=lncRNA;chr1:916818-919692	1506	lncRNA	0.890824027919551	0.587458183077526	0.673813797929908	0	0	0.353762395449804	4.33205365438806	5.50369067867562	5.354237751107	4.53957564074874	5.19148358025526	5.33946101241522	2.04776562993734	2.6893269879488	2.60855727178346	1.86809407991528	2.0345326789386	0	0	1	0	0	0
gene59	339451	KLHL17	Name=KLHL17;description=kelch like family member 17;gbkey=Gene;gene=KLHL17;gene_biotype=protein_coding;chr1:960103-965719	3194	protein_coding	2.7265352692715	2.85868630860639	3.15736788611367	2.51408696125003	2.61117377802168	2.81015608998247	3.62676222877579	3.32313007780953	3.67034188874915	3.65224363207993	3.28687798993212	3.45111702991708	4.12686217854505	4.66881036403989	4.4207743932078	3.1138671594827	4.17254351966537	0	0	0	0	0	1
gene64	9636	ISG15	Name=ISG15;description=ISG15 ubiquitin-like modifier;gbkey=Gene;gene=ISG15;gene_biotype=protein_coding;gene_synonym=G1P2,hUCRP,IFI15,IMD38,IP17,UCRP;chr1:1013467-1014540	667	protein_coding	3.58305720705446	3.45911939431565	3.69451728418607	3.57349750174802	3.41576872869542	2.70287936073788	0.80675352101395	1.38688199621411	1.78091192532559	0.50864028383534	0.785383151133058	0.518901949132555	1.00188211878015	3.01514977548573	4.21255238012784	1.61423868309179	3.127979881061	0	0	0	0	1	1
gene70	54991	C1orf159	Name=C1orf159;description=chromosome 1 open reading frame 159;gbkey=Gene;gene=C1orf159;gene_biotype=protein_coding;chr1:1081811-1116361	4363	protein_coding	2.32236801559607	2.55970549007418	2.29446501199519	2.46450443861373	2.59819843747526	2.21204100892329	3.60663345203804	3.6324904264894	3.55836350755543	3.35278646753771	3.7897894573456	3.66627493529032	3.35084583300507	4.03162901352772	3.70711924893113	1.86809407991528	3.127979881061	0	0	0	0	0	1
gene79	51150	SDF4	Name=SDF4;description=stromal cell derived factor 4;gbkey=Gene;gene=SDF4;gene_biotype=protein_coding;gene_synonym=Cab45,SDF-4;chr1:1216908-1232067	2641	protein_coding	2.17415655337892	2.24058580684972	2.20902364037763	2.17639080003424	2.57331095475281	2.60210137249678	2.51456488359744	2.6625777241938	2.5548554627077	2.61558678573469	2.76330006514294	2.52956689619469	2.65938838936915	2.65302074842203	2.85932107816396	1.98002530023873	3.40603319008977	0	0	0	0	0	1
gene84	6339	SCNN1D	Name=SCNN1D;description=sodium channel epithelial 1 delta subunit;gbkey=Gene;gene=SCNN1D;gene_biotype=protein_coding;gene_synonym=dNaCh,ENaCd,ENaCdelta,SCNED;chr1:1280436-1292029	3054	protein_coding	1.60019969491448	1.11944269675805	1.60625942882397	0.54698544345578	0	0.387339013630996	1.68480894967843	2.3350778997887	1.41610321494132	1.82972205730444	1.51086082229871	1.2489017992443	1.98291576751815	3.05445709134909	2.58300871230954	1.12300395405482	2.57410150808939	0	0	0	0	0	1
gene85	116983	ACAP3	Name=ACAP3;description=ArfGAP with coiled-coil%2C ankyrin repeat and PH domains 3;gbkey=Gene;gene=ACAP3;gene_biotype=protein_coding;gene_synonym=CENTB5;chr1:1292384-1307925	6232	protein_coding	2.29103415627529	2.92940699031975	1.98459973584922	2.75730226782105	2.19415118029547	2.41417903713792	2.05891376301013	2.45093300706089	2.35258197173267	2.51213080269206	2.80902349235223	2.85801703587145	2.94074169117053	3.4639775227777	3.52951218108188	1.98002530023873	3.27369491003708	0	0	0	0	0	1
gene95	54587	MXRA8	Name=MXRA8;description=matrix remodeling associated 8;gbkey=Gene;gene=MXRA8;gene_biotype=protein_coding;gene_synonym=ASP3;chr1:1352689-1363541	3639	protein_coding	4.03723218265346	2.48208180590499	2.74452575936658	3.29780574535329	0.850774898848184	1.04362095264552	7.37961650453961	5.35604679076433	5.48815334786559	6.14639492929556	5.95888099713145	6.00785954614412	3.75990135156213	5.54434781215043	6.43634303210348	3.46113561515862	5.77018418107029	-1	-1	-1	0	1	1
gene103	441869	ANKRD65	Name=ANKRD65;description=ankyrin repeat domain 65;gbkey=Gene;gene=ANKRD65;gene_biotype=protein_coding;chr1:1418420-1422471	3182	protein_coding	1.07006338838504	0.782439342967856	1.39030167291506	0.987281898627742	0.484184628283827	0.959167468855362	2.99110369172614	2.22435662658128	2.2970087228402	2.67048455004139	2.49147654416992	2.50885474222876	1.61916920258312	1.15936261663604	0.630855153014863	0	1.34959174255675	0	0	0	0	0	1
gene108	64856	VWA1	Name=VWA1;description=von Willebrand factor A domain containing 1;gbkey=Gene;gene=VWA1;gene_biotype=protein_coding;gene_synonym=WARP;chr1:1435523-1442882	4659	protein_coding	3.43771054895091	3.50261784304975	3.53425307357057	4.08321531057002	3.82403583781623	4.14966213592022	7.79309816742094	7.8108769734085	7.81345844591388	6.80542034461012	7.38589619006283	7.26451846159498	5.27522483636005	6.27568183834087	6.32275390436189	4.79698184019708	5.25407621850018	0	0	0	0	1	0
gene177	1953	MEGF6	Name=MEGF6;description=multiple EGF like domains 6;gbkey=Gene;gene=MEGF6;gene_biotype=protein_coding;gene_synonym=EGFL3;chr1:3487942-3624770	7736	protein_coding	4.21191421263422	3.64581259583197	3.95327498041347	3.90204581156449	3.46148592894251	3.40779933236192	3.73950127752728	2.43377092670254	3.13316128066012	2.62054376400698	3.36102083662204	3.56080652892027	1.20851246226058	1.67036344746066	2.20417171885321	1.46832264394787	2.71683729131891	0	0	0	0	0	1
gene192	1677	DFFB	Name=DFFB;description=DNA fragmentation factor subunit beta;gbkey=Gene;gene=DFFB;gene_biotype=protein_coding;gene_synonym=CAD,CPAN,DFF-40,DFF2,DFF40;chr1:3857267-3885429	860	protein_coding	2.83369731190329	2.831853321001	2.96590737330289	3.25165464571111	3.08561497695808	3.19799145217152	1.82117388681231	2.37963731614416	2.63873158913327	1.93561292678392	2.23876331982645	2.43842488731422	1.7042819172773	2.97170792708001	2.6957692553436	2.08389412562431	3.48794933693895	0	0	0	0	0	1
gene204	55966	AJAP1	Name=AJAP1;description=adherens junctions associated protein 1;gbkey=Gene;gene=AJAP1;gene_biotype=protein_coding;gene_synonym=MOT8,SHREW-1,SHREW1;chr1:4654775-4792518	2923	protein_coding	0.26807619650959	0.599592737897572	0.124813686569845	1.05559771315638	1.67710640411278	1.39001845305884	3.12962827823496	2.67361755138647	3.27564694596833	0.930169570403272	2.82215608978808	2.18895872174282	1.06465598803899	2.31650134593486	2.25207763504502	0.668119124686432	1.34959174255675	0	0	0	1	1	0
gene213	261734	NPHP4	Name=NPHP4;description=nephrocystin 4;gbkey=Gene;gene=NPHP4;gene_biotype=protein_coding;gene_synonym=POC10,SLSN4;chr1:5862808-5992473	5553	protein_coding	3.6715066831008	3.2697302812488	3.61609764105012	4.72968657419164	3.30632817788774	3.5274771485047	4.33188587208452	4.68896444942771	4.76993228695823	4.60074127470826	4.81200848551894	4.85479028642437	4.72415780305359	4.96988398575807	4.4951007107479	4.05384119026775	4.8360250997816	0	-1	0	0	0	0
