seqnames	start	end	width	strand	score	signalValue	pValue	qValue	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
1	chr1	11157	11432	276	*	148	7.98199	19.3535	14.8775	Verma_TET1_macs2_peak_2	100287102	11869	14409	2541	+	436	upstream	436	DDX11L1
2	chr1	28850	29722	873	*	122	5.57619	16.5662	12.2197	Verma_TET1_macs2_peak_3	653635	14404	29570	15167	-	0	overlapStart	0	WASH7P
3	chr1	181650	181957	308	*	183	7.03042	23.0504	18.3848	Verma_TET1_macs2_peak_6	102725121	182696	184174	1479	+	738	upstream	738	DDX11L17
4	chr1	632490	632925	436	*	207	2.30103	25.5052	20.7362	Verma_TET1_macs2_peak_16	101928626	594191	633129	38939	-	0	inside	203	LOC101928626
5	chr1	633331	633574	244	*	121	2.05705	16.4643	12.1243	Verma_TET1_macs2_peak_17	101928626	594191	633129	38939	-	201	upstream	201	LOC101928626
6	chr1	633843	634310	468	*	120	1.79761	16.348	12.0116	Verma_TET1_macs2_peak_18	101928626	594191	633129	38939	-	713	upstream	713	LOC101928626
7	chr1	778072	778542	471	*	72	6.22005	11.2	7.26585	Verma_TET1_macs2_peak_21	100133331	725885	778626	52742	-	0	inside	83	NA
8	chr1	778717	779233	517	*	51	4.22994	8.78253	5.15144	Verma_TET1_macs2_peak_22	100133331	725885	778626	52742	-	90	upstream	90	NA
9	chr1	1000409	1000598	190	*	27	3.73078	5.89275	2.79016	Verma_TET1_macs2_peak_24	57801	998962	1000172	1211	-	236	upstream	236	HES4
10	chr1	1000409	1000598	190	*	27	3.73078	5.89275	2.79016	Verma_TET1_macs2_peak_24	9636	1001138	1014540	13403	+	539	upstream	539	ISG15
11	chr1	1116013	1116497	485	*	37	3.616	7.12593	3.77687	Verma_TET1_macs2_peak_29	54991	1081818	1116361	34544	-	0	overlapStart	0	C1orf159
12	chr1	1308247	1308451	205	*	95	5.6663	13.6747	9.50728	Verma_TET1_macs2_peak_32	126789	1308597	1311677	3081	+	145	upstream	145	PUSL1
13	chr1	1324540	1324743	204	*	31	3.28011	6.33414	3.14962	Verma_TET1_macs2_peak_33	54973	1311585	1324691	13107	-	0	overlapStart	0	INTS11
14	chr1	1324540	1324743	204	*	31	3.28011	6.33414	3.14962	Verma_TET1_macs2_peak_33	80772	1324756	1328896	4141	+	12	upstream	12	CPTP
15	chr1	1375079	1375519	441	*	90	5.96703	13.1203	9.00143	Verma_TET1_macs2_peak_36	54998	1373730	1375495	1766	-	0	overlapStart	0	AURKAIP1
16	chr1	1399607	1399836	230	*	57	4.43137	9.53076	5.78571	Verma_TET1_macs2_peak_38	148413	1399520	1402046	2527	+	0	inside	86	MRPL20-AS1
17	chr1	1399607	1399836	230	*	57	4.43137	9.53076	5.78571	Verma_TET1_macs2_peak_38	81669	1385711	1399335	13625	-	271	upstream	271	CCNL2
18	chr1	1433840	1434127	288	*	17	2.70119	4.56008	1.79284	Verma_TET1_macs2_peak_39	64856	1434861	1442882	8022	+	733	upstream	733	VWA1
19	chr1	1511536	1512235	700	*	135	6.44563	17.9442	13.5327	Verma_TET1_macs2_peak_40	55210	1512162	1534685	22524	+	0	overlapStart	0	ATAD3A
20	chr1	1574211	1574510	300	*	18	2.7881	4.59863	1.80084	Verma_TET1_macs2_peak_41	29101	1541673	1574863	33191	-	0	inside	352	SSU72
21	chr1	1615106	1615726	621	*	21	2.63069	5.00951	2.12118	Verma_TET1_macs2_peak_42	142678	1615415	1630610	15196	+	0	overlapStart	0	MIB2
22	chr1	1632516	1632701	186	*	44	4.24337	7.93949	4.45112	Verma_TET1_macs2_peak_43	8510	1632163	1635263	3101	+	0	inside	352	MMP23B
23	chr1	1632516	1632701	186	*	44	4.24337	7.93949	4.45112	Verma_TET1_macs2_peak_43	8511	1632783	1701782	69000	+	81	upstream	81	MMP23A
24	chr1	1632797	1633005	209	*	45	4.32655	8.10544	4.58132	Verma_TET1_macs2_peak_44	8511	1632783	1701782	69000	+	0	inside	13	MMP23A
25	chr1	1658797	1659483	687	*	167	8.45386	21.3039	16.7232	Verma_TET1_macs2_peak_46	984	1635227	1659012	23786	-	0	overlapStart	0	CDK11B
26	chr1	1692025	1693750	1726	*	78	5.03565	11.8861	7.87388	Verma_TET1_macs2_peak_48	728661	1659529	1692795	33267	-	0	overlapStart	0	SLC35E2B
27	chr1	1744985	1747043	2059	*	79	5.56052	11.9184	7.90166	Verma_TET1_macs2_peak_52	9906	1724838	1745999	21162	-	0	overlapStart	0	SLC35E2A
28	chr1	1919031	1919357	327	*	30	3.15139	6.22578	3.05696	Verma_TET1_macs2_peak_53	339456	1917590	1919279	1690	-	0	overlapStart	0	TMEM52
